RGB0,RGB1,RGB2,RGB3,RGB4,RGB5,RGB6
5,8,8,7,4,5,5
8,3,9,5,5,4,8
3,4,7,6,2,8,5
5,3,5,7,4,9,9
6,3,3,1,5,1,2
3,5,4,8,3,7,5
5,6,7,5,4,3,5
8,3,5,7,6,4,9
3,4,7,9,4,6,9
6,4,4,2,8,5,6
4,9,9,3,4,6,7
7,3,5,6,4,8,2
4,8,9,6,4,4,7
7,4,9,9,9,4,7
8,9,10,7,6,6,10
8,7,7,5,9,6,7
8,9,4,9,6,7,6
12,11,7,8,6,11,8
7,8,7,11,12,10,8
11,8,8,8,10,6,12
10,13,11,7,9,9,11
6,11,6,12,8,9,11
7,7,5,3,4,5,4
10,5,11,9,7,5,9
9,9,8,8,6,7,9
9,9,11,8,7,11,8
11,8,10,5,6,5,11
4,7,4,7,3,8,9
6,11,5,11,7,5,11
6,6,6,7,9,9,6
4,5,10,8,4,10,8
10,8,9,9,8,7,12
6,9,9,9,12,11,7
10,8,5,11,5,6,11
10,7,6,5,10,9,9
12,11,6,8,8,10,8
5,10,6,5,9,10,11
9,5,8,10,5,11,8
9,12,12,7,7,7,9
8,10,11,8,10,6,10
10,7,7,7,9,12,11
12,12,14,10,9,9,11
10,8,14,9,14,12,10
9,12,14,9,11,13,9
12,8,12,11,9,8,10
8,12,13,7,12,7,11
8,13,9,13,11,11,12
9,12,14,9,11,11,11
13,11,13,8,11,11,10
